E36312A exported datalog
File type: CSV

"Sample interval: 0.200000"
"Number of sample: 150/150"
"Trigger sample: 0"
"Date: 2001/05/16 12:16:41"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 2.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 2.000000, 0.000000"
"V3: 5.000000, 0.000000"
"I3: 1.000000, 0.000000"
"P3: 2.000000, 0.000000"

Sample,"Volt avg 1","Volt min 1","Volt max 1","Curr avg 1","Curr min 1","Curr max 1"
91,5.000640,5.000640,5.000640,0.629860,0.629860,0.629860
92,5.000640,5.000640,5.000640,0.631500,0.631500,0.631500
93,5.000440,5.000440,5.000440,0.629050,0.629050,0.629050
94,5.000640,5.000640,5.000640,0.629370,0.629370,0.629370
95,5.000640,5.000640,5.000640,0.630680,0.630680,0.630680
96,5.000640,5.000640,5.000640,0.629210,0.629210,0.629210
97,5.000640,5.000640,5.000640,0.629700,0.629700,0.629700
98,5.000640,5.000640,5.000640,0.632150,0.632150,0.632150
99,5.000440,5.000440,5.000440,0.628560,0.628560,0.628560
100,5.000640,5.000640,5.000640,0.628390,0.628390,0.628390
101,5.000640,5.000640,5.000640,0.629700,0.629700,0.629700
102,5.000440,5.000440,5.000440,0.630520,0.630520,0.630520
103,5.000640,5.000640,5.000640,0.626270,0.626270,0.626270
104,5.000640,5.000640,5.000640,0.627900,0.627900,0.627900
105,5.000440,5.000440,5.000440,0.631500,0.631500,0.631500
106,5.000640,5.000640,5.000640,0.630680,0.630680,0.630680
107,5.000640,5.000640,5.000640,0.627420,0.627420,0.627420
108,5.000640,5.000640,5.000640,0.631330,0.631330,0.631330
109,5.000640,5.000640,5.000640,0.631820,0.631820,0.631820
110,5.000640,5.000640,5.000640,0.628390,0.628390,0.628390
111,5.000640,5.000640,5.000640,0.629370,0.629370,0.629370
112,5.000640,5.000640,5.000640,0.630030,0.630030,0.630030
113,5.000440,5.000440,5.000440,0.628390,0.628390,0.628390
114,5.000640,5.000640,5.000640,0.628560,0.628560,0.628560
115,5.000640,5.000640,5.000640,0.631500,0.631500,0.631500
116,5.000440,5.000440,5.000440,0.628880,0.628880,0.628880
117,5.000440,5.000440,5.000440,0.628560,0.628560,0.628560
118,5.000640,5.000640,5.000640,0.630520,0.630520,0.630520
119,5.000640,5.000640,5.000640,0.631820,0.631820,0.631820
120,5.000640,5.000640,5.000640,0.627580,0.627580,0.627580
121,5.000640,5.000640,5.000640,0.629370,0.629370,0.629370
122,5.000440,5.000440,5.000440,0.631820,0.631820,0.631820
123,5.000640,5.000640,5.000640,0.628880,0.628880,0.628880
124,5.000640,5.000640,5.000640,0.628230,0.628230,0.628230
125,5.000640,5.000640,5.000640,0.630350,0.630350,0.630350
126,5.000640,5.000640,5.000640,0.628880,0.628880,0.628880
127,5.000640,5.000640,5.000640,0.628070,0.628070,0.628070
128,5.000640,5.000640,5.000640,0.631170,0.631170,0.631170
129,5.000440,5.000440,5.000440,0.632310,0.632310,0.632310
130,5.000640,5.000640,5.000640,0.627420,0.627420,0.627420
131,5.000440,5.000440,5.000440,0.629210,0.629210,0.629210
132,5.000640,5.000640,5.000640,0.631170,0.631170,0.631170
133,5.000440,5.000440,5.000440,0.628070,0.628070,0.628070
134,5.000640,5.000640,5.000640,0.628880,0.628880,0.628880
135,5.000640,5.000640,5.000640,0.629050,0.629050,0.629050
136,5.000440,5.000440,5.000440,0.627740,0.627740,0.627740
137,5.000640,5.000640,5.000640,0.626600,0.626600,0.626600
138,5.000440,5.000440,5.000440,0.628720,0.628720,0.628720
139,5.000640,5.000640,5.000640,0.630840,0.630840,0.630840
140,5.000640,5.000640,5.000640,0.628230,0.628230,0.628230
141,5.000640,5.000640,5.000640,0.627740,0.627740,0.627740
142,5.000640,5.000640,5.000640,0.630680,0.630680,0.630680
143,5.000440,5.000440,5.000440,0.628070,0.628070,0.628070
144,5.000640,5.000640,5.000640,0.627090,0.627090,0.627090
145,5.000640,5.000640,5.000640,0.629860,0.629860,0.629860
146,5.000640,5.000640,5.000640,0.629540,0.629540,0.629540
147,5.000640,5.000640,5.000640,0.627740,0.627740,0.627740
148,5.000640,5.000640,5.000640,0.629540,0.629540,0.629540
149,5.000440,5.000440,5.000440,0.631660,0.631660,0.631660
