E36312A exported datalog
File type: CSV

"Sample interval: 0.200000"
"Number of sample: 150/150"
"Trigger sample: 0"
"Date: 2001/05/16 12:30:16"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 2.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 2.000000, 0.000000"
"V3: 5.000000, 0.000000"
"I3: 1.000000, 0.000000"
"P3: 2.000000, 0.000000"

Sample,"Volt avg 1","Volt min 1","Volt max 1","Curr avg 1","Curr min 1","Curr max 1"
91,5.000640,5.000640,5.000640,1.029720,1.029720,1.029720
92,5.000640,5.000640,5.000640,1.023850,1.023850,1.023850
93,5.000640,5.000640,5.000640,1.028090,1.028090,1.028090
94,5.000640,5.000640,5.000640,1.028090,1.028090,1.028090
95,5.000640,5.000640,5.000640,1.028420,1.028420,1.028420
96,5.000640,5.000640,5.000640,1.024340,1.024340,1.024340
97,5.000640,5.000640,5.000640,1.027280,1.027280,1.027280
98,5.000640,5.000640,5.000640,1.025320,1.025320,1.025320
99,5.000640,5.000640,5.000640,1.026790,1.026790,1.026790
100,5.000640,5.000640,5.000640,1.028420,1.028420,1.028420
101,5.000640,5.000640,5.000640,1.030700,1.030700,1.030700
102,5.000640,5.000640,5.000640,1.028910,1.028910,1.028910
103,5.000640,5.000640,5.000640,0.957910,0.957910,0.957910
104,5.000640,5.000640,5.000640,0.928860,0.928860,0.928860
105,5.000640,5.000640,5.000640,0.895400,0.895400,0.895400
106,5.000640,5.000640,5.000640,0.855740,0.855740,0.855740
107,5.000640,5.000640,5.000640,0.791600,0.791600,0.791600
108,5.000640,5.000640,5.000640,0.756840,0.756840,0.756840
109,5.000640,5.000640,5.000640,0.718490,0.718490,0.718490
110,5.000640,5.000640,5.000640,0.649770,0.649770,0.649770
111,5.000640,5.000640,5.000640,0.618930,0.618930,0.618930
112,5.000640,5.000640,5.000640,0.584650,0.584650,0.584650
113,5.000640,5.000640,5.000640,0.513660,0.513660,0.513660
114,5.000640,5.000640,5.000640,0.478570,0.478570,0.478570
115,5.000640,5.000640,5.000640,0.446740,0.446740,0.446740
116,5.000640,5.000640,5.000640,0.414430,0.414430,0.414430
117,5.000640,5.000640,5.000640,0.346210,0.346210,0.346210
118,5.000640,5.000640,5.000640,0.309970,0.309970,0.309970
119,5.000640,5.000640,5.000640,0.242080,0.242080,0.242080
120,5.000640,5.000640,5.000640,0.224450,0.224450,0.224450
121,5.000640,5.000640,5.000640,0.224450,0.224450,0.224450
122,5.000640,5.000640,5.000640,0.242410,0.242410,0.242410
123,5.000640,5.000640,5.000640,0.242240,0.242240,0.242240
124,5.000640,5.000640,5.000640,0.242570,0.242570,0.242570
125,5.000640,5.000640,5.000640,0.242570,0.242570,0.242570
126,5.000640,5.000640,5.000640,0.256440,0.256440,0.256440
127,5.000640,5.000640,5.000640,0.267210,0.267210,0.267210
128,5.000640,5.000640,5.000640,0.283530,0.283530,0.283530
129,5.000640,5.000640,5.000640,0.304260,0.304260,0.304260
130,5.000440,5.000440,5.000440,0.360570,0.360570,0.360570
131,5.000640,5.000640,5.000640,0.398110,0.398110,0.398110
132,5.000640,5.000640,5.000640,0.494240,0.494240,0.494240
133,5.000640,5.000640,5.000640,0.552180,0.552180,0.552180
134,5.000640,5.000640,5.000640,0.618770,0.618770,0.618770
135,5.000640,5.000640,5.000640,0.694820,0.694820,0.694820
136,5.000640,5.000640,5.000640,0.873700,0.873700,0.873700
137,5.000640,5.000640,5.000640,0.973420,0.973420,0.973420
138,5.000640,5.000640,5.000640,1.043110,1.043110,1.043110
139,5.000640,5.000640,5.000640,1.042780,1.042780,1.042780
140,5.000640,5.000640,5.000640,1.038210,1.038210,1.038210
141,5.000640,5.000640,5.000640,1.041310,1.041310,1.041310
142,5.000640,5.000640,5.000640,1.037880,1.037880,1.037880
143,5.000640,5.000640,5.000640,1.038210,1.038210,1.038210
144,5.000640,5.000640,5.000640,1.042130,1.042130,1.042130
145,5.000640,5.000640,5.000640,1.041970,1.041970,1.041970
146,5.000640,5.000640,5.000640,1.038700,1.038700,1.038700
147,5.000640,5.000640,5.000640,1.038860,1.038860,1.038860
148,5.000640,5.000640,5.000640,1.042290,1.042290,1.042290
149,5.000640,5.000640,5.000640,0.835020,0.835020,0.835020
